PDF File,Missing Fields
44490-4.pdf,"CLIENT_CODE, RO_CLIENT_NAME, GSTIN, RO_REMARKS, AD_HEIGHT, AD_WIDTH, AD_SIZE"
44490-6.pdf,"CLIENT_CODE, RO_CLIENT_NAME, GSTIN, RO_REMARKS, AD_HEIGHT, AD_WIDTH, AD_SIZE"
44490-7.pdf,"CLIENT_CODE, RO_CLIENT_NAME, GSTIN, RO_REMARKS, AD_HEIGHT, AD_WIDTH, AD_SIZE"
44532-4.pdf,"CLIENT_CODE, RO_CLIENT_NAME, GSTIN, RO_REMARKS, AD_HEIGHT, AD_WIDTH, AD_SIZE"
44532-6.pdf,"CLIENT_CODE, RO_CLIENT_NAME, GSTIN, RO_REMARKS, AD_HEIGHT, AD_WIDTH, AD_SIZE"
44532-7.pdf,"CLIENT_CODE, RO_CLIENT_NAME, GSTIN, RO_REMARKS, AD_HEIGHT, AD_WIDTH, AD_SIZE"
44585-6.pdf,"AD_HEIGHT, AD_WIDTH, AD_SIZE"
